parameter,symbol,value,unit,title,year,cited_by,doi,oa_url,sentence,query,verified
eta_drought_irrigation,eta_T2_drought,0.15,fraction,Water-Saving Potential of Subsurface Drip Irrigation For Winter Wheat,2019,92,https://doi.org/10.3390/su11102978,https://www.mdpi.com/2071-1050/11/10/2978/pdf?version=1559026615,"Subsurface drip irrigation reduced ET by 26% compared to flood irrigation, and 15% compared to surface drip irrigation, with significant grain yield and biomass formation due to decreased evaporation losses.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.76,fraction,Water savings potentials of irrigation systems: global simulation of processes and linkages,2015,426,https://doi.org/10.5194/hess-19-3073-2015,https://hess.copernicus.org/articles/19/3073/2015/hess-19-3073-2015.pdf,"Replacing surface systems by sprinkler or drip systems could, on average across the world's river basins, reduce the non-beneficial consumption at river basin level by 54 and 76 %, respectively, while maintaining the current level of crop yields.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.3,fraction,Regulated deficit irrigation for crop production under drought stress. A review,2015,629,https://doi.org/10.1007/s13593-015-0338-6,https://link.springer.com/content/pdf/10.1007/s13593-015-0338-6.pdf,"Among these, partial root-zone irrigation is the most popular and effective because many field crops and some woody crops can save irrigation water up to 20 to 30 % without or with a minimal impact on crop yield.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.218,fraction,"Effects of Soils and Irrigation Volume on Maize Yield, Irrigation Water Productivity, and Nitrogen Uptake",2019,101,https://doi.org/10.1038/s41598-019-41447-z,https://www.nature.com/articles/s41598-019-41447-z.pdf,"Medium and low irrigation reduced the maize yield by 12.5–21.8% and 13.5–20.6%, respectively, relative to full irrigation, with the greatest decrease in sandy loam.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.20600000000000002,fraction,"Effects of Soils and Irrigation Volume on Maize Yield, Irrigation Water Productivity, and Nitrogen Uptake",2019,101,https://doi.org/10.1038/s41598-019-41447-z,https://www.nature.com/articles/s41598-019-41447-z.pdf,"Medium and low irrigation reduced the maize yield by 12.5–21.8% and 13.5–20.6%, respectively, relative to full irrigation, with the greatest decrease in sandy loam.",drip irrigation water saving yield increase China maize wheat,False
eta_drought_irrigation,eta_T2_drought,0.5,fraction,Breeding for water-saving and drought-resistance rice (WDR) in China,2010,449,https://doi.org/10.1093/jxb/erq185,https://academic.oup.com/jxb/article-pdf/61/13/3509/1425538/erq185.pdf,"The breeding target is a high yield potential under irrigation, an acceptable grain quality, and water consumption reduced by about 50% compared with paddy rice.",water fertilizer integration yield response China,False
eta_drought_irrigation,eta_T2_drought,0.75,fraction,"Response of yield, quality, water and nitrogen use efficiency of tomato to different levels of water and nitrogen under drip irrigation in Northwestern China",2017,184,https://doi.org/10.1016/s2095-3119(16)61371-0,https://www.sciencedirect.com/science/article/pii/S2095311916613710/pdf,The irrigation and fertilisation regime of 75% Ep and 250 kg N ha−1 was the best strategy of water and N management for the production of drip-irrigated greenhouse tomato.,water fertilizer integration yield response China,False
eta_drought_irrigation,eta_T2_drought,0.122,fraction,Foliar Application of Zinc Oxide Nanoparticles Promotes Drought Stress Tolerance in Eggplant (Solanum melongena L.),2021,363,https://doi.org/10.3390/plants10020421,https://www.mdpi.com/2223-7747/10/2/421/pdf?version=1614247272,"Under drought stress, supplementation of 50 and 100 ppm ZnO NP improved growth characteristics and increased fruit yield by 12.2% and 22.6%, respectively, compared with fully irrigated plants and nonapplied ZnO NP.",supplemental irrigation drought yield loss reduction China,False
eta_drought_irrigation,eta_T2_drought,0.226,fraction,Foliar Application of Zinc Oxide Nanoparticles Promotes Drought Stress Tolerance in Eggplant (Solanum melongena L.),2021,363,https://doi.org/10.3390/plants10020421,https://www.mdpi.com/2223-7747/10/2/421/pdf?version=1614247272,"Under drought stress, supplementation of 50 and 100 ppm ZnO NP improved growth characteristics and increased fruit yield by 12.2% and 22.6%, respectively, compared with fully irrigated plants and nonapplied ZnO NP.",supplemental irrigation drought yield loss reduction China,False
eta_drought_irrigation,eta_T2_drought,0.51,fraction,Impact of water deficit and irrigation management on winter wheat yield in China,2023,72,https://doi.org/10.1016/j.agwat.2023.108431,https://doi.org/10.1016/j.agwat.2023.108431,"Results indicated that the critical irrigation scenario (CI) was pivotal to alleviating water deficit effects during key growth periods, enhancing wheat growth, and leading to a 51%−92% yield increase compared to rain-fed yields in NCP and NW.",deficit irrigation yield response water productivity China,False
eta_drought_irrigation,eta_T2_drought,0.61,fraction,"Yield, Mineral Composition, Water Relations, and Water Use Efficiency of Grafted Mini-watermelon Plants Under Deficit Irrigation",2008,268,https://doi.org/10.21273/hortsci.43.3.730,https://journals.ashs.org/downloadpdf/journals/hortsci/43/3/article-p730.pdf,"When averaged over year and irrigation rate, the total and marketable yields were higher by 115% and 61% in grafted than in ungrafted plants, respectively.",deficit irrigation yield response water productivity China,False
service_price,price_per_mu,5.6,price,What Are the Effects of Participation in Production Outsourcing? Evidence from Chinese Apple Farmers,2018,28,https://doi.org/10.3390/su10124525,https://www.mdpi.com/2071-1050/10/12/4525/pdf?version=1543592084,"The results showed that, on average, the outsourcing of apple production increased farmers’ apple production technology efficiency by 5.60%, their labor productivity by 2121.48 kg/person, land productivity by 334.50 kg/mu, capital productivity by 0.05 kg/Yuan, and apple sales revenue by 13,300 Yuan.",agricultural machinery outsourcing service price China per mu,False
service_price,price_per_mu,212.0,price,What Are the Effects of Participation in Production Outsourcing? Evidence from Chinese Apple Farmers,2018,28,https://doi.org/10.3390/su10124525,https://www.mdpi.com/2071-1050/10/12/4525/pdf?version=1543592084,"The results showed that, on average, the outsourcing of apple production increased farmers’ apple production technology efficiency by 5.60%, their labor productivity by 2121.48 kg/person, land productivity by 334.50 kg/mu, capital productivity by 0.05 kg/Yuan, and apple sales revenue by 13,300 Yuan.",agricultural machinery outsourcing service price China per mu,False
service_price,price_per_mu,1.48,price,What Are the Effects of Participation in Production Outsourcing? Evidence from Chinese Apple Farmers,2018,28,https://doi.org/10.3390/su10124525,https://www.mdpi.com/2071-1050/10/12/4525/pdf?version=1543592084,"The results showed that, on average, the outsourcing of apple production increased farmers’ apple production technology efficiency by 5.60%, their labor productivity by 2121.48 kg/person, land productivity by 334.50 kg/mu, capital productivity by 0.05 kg/Yuan, and apple sales revenue by 13,300 Yuan.",agricultural machinery outsourcing service price China per mu,False
service_price,price_per_mu,334.5,price,What Are the Effects of Participation in Production Outsourcing? Evidence from Chinese Apple Farmers,2018,28,https://doi.org/10.3390/su10124525,https://www.mdpi.com/2071-1050/10/12/4525/pdf?version=1543592084,"The results showed that, on average, the outsourcing of apple production increased farmers’ apple production technology efficiency by 5.60%, their labor productivity by 2121.48 kg/person, land productivity by 334.50 kg/mu, capital productivity by 0.05 kg/Yuan, and apple sales revenue by 13,300 Yuan.",agricultural machinery outsourcing service price China per mu,False
service_price,price_per_mu,13.0,price,What Are the Effects of Participation in Production Outsourcing? Evidence from Chinese Apple Farmers,2018,28,https://doi.org/10.3390/su10124525,https://www.mdpi.com/2071-1050/10/12/4525/pdf?version=1543592084,"The results showed that, on average, the outsourcing of apple production increased farmers’ apple production technology efficiency by 5.60%, their labor productivity by 2121.48 kg/person, land productivity by 334.50 kg/mu, capital productivity by 0.05 kg/Yuan, and apple sales revenue by 13,300 Yuan.",agricultural machinery outsourcing service price China per mu,False
service_price,price_per_mu,300.0,price,What Are the Effects of Participation in Production Outsourcing? Evidence from Chinese Apple Farmers,2018,28,https://doi.org/10.3390/su10124525,https://www.mdpi.com/2071-1050/10/12/4525/pdf?version=1543592084,"The results showed that, on average, the outsourcing of apple production increased farmers’ apple production technology efficiency by 5.60%, their labor productivity by 2121.48 kg/person, land productivity by 334.50 kg/mu, capital productivity by 0.05 kg/Yuan, and apple sales revenue by 13,300 Yuan.",agricultural machinery outsourcing service price China per mu,False
adoption_rate,adopt,0.5,fraction,Setting the Record Straight on Precision Agriculture Adoption,2019,395,https://doi.org/10.2134/agronj2018.12.0779,https://onlinelibrary.wiley.com/doi/pdfdirect/10.2134/agronj2018.12.0779,VRT adoption estimates for niche groups of farmers may exceed 50%.,adoption rate digital agriculture technology Chinese farmers survey,False
adoption_rate,adopt,0.2,fraction,Adoption of digital technologies in agriculture—an inventory in a european small-scale farming region,2022,166,https://doi.org/10.1007/s11119-022-09931-1,https://link.springer.com/content/pdf/10.1007/s11119-022-09931-1.pdf,"Results show that Bavarian farmers cannot be described as exceedingly digitalized but show potential adoption rates of 15–20% within the next five years for technologies such as barn robotics, section control, variable-rate applications, and maps from satellite data.",adoption rate digital agriculture technology Chinese farmers survey,False
