uid,county,terrain,area_mu,c_farmer,digital_literacy,irrigation,coop,service_distance,wealth,exited,mode_T1,mode_T2,mode_T3,effort_T1,effort_T2,effort_T3,state_T1,state_T2,state_T3,form_T1,form_T2,form_T3,any_adopted,any_effective,mean_effort,risk_quartile
10,C1,plain,11.105286995171094,0.46280911439739436,0.1835310912350845,True,False,0.07566023916898176,73811.58285001718,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,,False,False,0.0,Q2
11,C1,plain,27.32397518245934,0.3755457192944972,0.4149080436494274,True,True,0.08977119020256649,182841.30994536154,False,service,none,service,0.8422184169522589,0.0,0.33735194065045226,4,1,3,convex,,convex,True,True,0.3931901192009037,Q2
12,C1,plain,15.474322271249802,0.2786163976671829,0.6264557667593434,True,False,0.07129589291133524,105421.49598527476,False,service,none,none,0.8064572570345365,0.0,0.0,4,1,1,concave,,concave,True,True,0.26881908567817886,Q1 least averse
13,C1,plain,26.58463824234266,0.4730164274153661,0.9295599935751551,False,True,0.0,228741.29142255476,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,convex,False,False,0.0,Q3
14,C1,plain,56.337309716737984,0.41604253482667164,0.853820479913306,True,True,0.0032324045914284625,297870.39507532626,False,service,none,service,0.8422184169522589,0.0,0.0,4,1,2,convex,,,True,True,0.28073947231741964,Q2
15,C1,plain,54.912473595080655,0.5074337480131196,0.34770922309532226,True,True,0.0,275849.46274181723,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,convex,False,False,0.0,Q3
16,C1,plain,23.064245576874043,0.4355868771090421,0.3948008793958405,False,True,0.0,170050.11461104976,False,none,none,service,0.0,0.0,0.4628824144270387,1,1,3,convex,,convex,True,False,0.15429413814234624,Q2
17,C1,plain,11.132281788976774,0.2975406741278187,0.4968355098914207,True,True,0.0,60413.0487769307,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,,False,False,0.0,Q1 least averse
18,C1,plain,17.95369992873368,0.3477192983749039,0.5777642275324826,True,True,0.0,188392.31358827077,False,service,none,none,0.8210577249281982,0.0,0.0,4,1,1,concave,,,True,True,0.2736859083093994,Q2
19,C1,plain,37.818628250496005,0.3402235894367043,0.24227470744285068,True,True,0.03677666026812631,166963.29391837007,False,service,none,none,0.45158174871050905,0.0,0.0,3,1,1,concave,,,True,False,0.1505272495701697,Q1 least averse
20,C1,plain,21.63647557573455,0.38290070871009896,0.515514811113617,False,False,0.0,145046.95772884326,False,none,none,service,0.0,0.0,0.6065517991133994,1,1,4,convex,,convex,True,True,0.2021839330377998,Q2
21,C2,plain,9.412113728588151,0.638428870572858,0.2659595223373899,True,False,0.17667776446616043,62030.761023027284,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
22,C2,plain,26.115139057236007,0.08,0.46738444193170664,True,True,0.030155273355963158,205761.2227179779,False,none,none,service,0.0,0.0,0.44227102562679416,1,1,3,concave,,concave,True,False,0.14742367520893138,Q1 least averse
23,C2,plain,35.55271483159008,0.2876422381101217,0.3210887242873571,True,False,0.05440850643222034,139713.37259462877,False,service,none,none,0.8064572570345365,0.0,0.0,4,1,1,concave,,convex,True,True,0.26881908567817886,Q1 least averse
24,C2,plain,9.273453927013422,0.633508988823618,0.692942606838173,True,True,0.08447792071463528,121290.01568207801,False,service,none,none,0.5013764529261999,0.0,0.0,3,1,1,convex,,convex,True,False,0.1671254843087333,Q4 most averse
25,C2,plain,10.443966813061138,0.5890823884327135,0.6239995488119896,False,True,0.4727325616852813,92563.08580041704,False,none,none,none,0.0,0.0,0.0,1,1,1,concave,,,False,False,0.0,Q4 most averse
26,C2,plain,64.76710335904792,0.3614575901479742,0.2800820181863535,True,True,0.31506784726003395,194774.41172936442,False,service,none,service,0.4544000761640969,0.0,0.0,3,1,2,concave,,,True,False,0.15146669205469895,Q2
27,C2,plain,21.04182033698759,0.49251164729256214,0.28508905350941416,True,True,0.14936660463267254,133608.33237992582,False,service,none,none,0.865365207532639,0.0,0.0,4,1,1,convex,,convex,True,True,0.2884550691775463,Q3
28,C2,plain,37.22404166650788,0.41139391908737993,0.37125521308369036,True,True,0.09802967402825917,215512.43853441923,False,service,none,none,0.8422184169522589,0.0,0.0,4,1,1,convex,,,True,True,0.28073947231741964,Q2
29,C2,plain,6.449320851327705,0.3349668579291889,0.2961485836782253,True,True,0.1812715473915476,168933.77754887618,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
30,C2,plain,21.33556973442701,0.47800491472101714,0.15470554029785516,True,False,0.2264348871081733,237688.3236885352,False,none,none,none,0.0,0.0,0.0,1,1,1,concave,,,False,False,0.0,Q3
31,C2,plain,43.202792725456675,0.49493343824778635,0.4932241359569887,False,True,0.2932454691749507,174858.43354521814,False,none,none,none,0.0,0.0,0.0,1,1,1,concave,,,False,False,0.0,Q3
32,C2,plain,15.945535473504682,0.216353493612095,0.32476044523992914,True,False,0.2367817713718787,122670.38019187388,False,none,none,none,0.0,0.0,0.0,1,1,1,concave,,concave,False,False,0.0,Q1 least averse
33,C2,plain,11.415162123673671,0.6525385429033049,0.24497910286433056,True,True,0.32813310492218883,65868.48622516957,False,none,none,none,0.0,0.0,0.0,1,1,1,,,convex,False,False,0.0,Q4 most averse
34,C2,plain,6.569733539744826,0.32420067550193904,0.2540007983041338,False,False,0.23497756197268596,32800.6810493737,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
35,C2,plain,18.177003426218132,0.08,0.27973488265808377,True,True,0.0,128477.36097622177,False,service,none,none,0.7658880406497589,0.0,0.0,4,1,1,concave,,concave,True,True,0.25529601354991965,Q1 least averse
36,C2,plain,36.549784795221655,0.08344896930677137,0.33488121561760037,True,True,0.20466820209271802,243199.61614090024,False,service,none,none,0.7658880406497589,0.0,0.0,4,1,1,concave,,,True,True,0.25529601354991965,Q1 least averse
37,C3,hill,13.549423413474928,0.664667754549549,0.05249332016558814,False,True,0.5758259178296576,106347.74619273619,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
38,C3,hill,13.474743459181825,0.44462258004049743,0.5437512580018791,False,True,0.2637154540800122,76933.69603443459,False,service,none,service,0.37580245657094274,0.0,1.0,3,1,4,convex,,concave,True,True,0.45860081885698095,Q2
39,C3,hill,5.432898882538503,0.22781177014504483,0.39004564535335334,False,True,0.43812603722195753,74044.71155169857,False,none,none,none,0.0,0.0,0.0,1,1,1,concave,,convex,False,False,0.0,Q1 least averse
40,C3,hill,6.022102592635745,0.41931938755144194,0.3613431315948738,True,False,0.4904563651706714,100546.08481772772,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q2
41,C3,hill,5.490232492300095,0.6662508210812955,0.1894435839425847,False,True,0.7170425891906549,38840.225847635775,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
42,C3,hill,3.8042954365278425,0.6933155445358498,0.27492720552356564,False,True,0.6070236369872996,71804.54549747989,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,,False,False,0.0,Q4 most averse
43,C3,hill,3.2628540501717187,0.5186544610579855,0.3869865401941807,True,True,0.49868164515912017,44322.65910187842,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
44,C3,hill,15.306990367925305,0.5885210610901292,0.3795423865392776,True,False,0.4025494627842243,83457.02105118107,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,convex,False,False,0.0,Q4 most averse
45,C3,hill,10.226714960343882,0.5293778578325902,0.6362804673502285,False,True,0.43617555850579204,86001.0403940265,False,none,none,service,0.0,0.0,0.55,1,1,3,,,convex,True,False,0.18333333333333335,Q3
46,C3,hill,10.313543264515122,0.45272887805792844,0.7387865002312389,False,False,0.36292460792515,100389.29884407323,False,none,none,none,0.0,0.0,0.0,1,1,1,concave,,,False,False,0.0,Q2
47,C3,hill,10.584896110589911,0.6832289711615871,0.5200833412503623,False,True,0.6464974963728605,57387.8728709097,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
48,C3,hill,10.319774183010706,0.20183167520998166,0.20316048122804664,False,True,0.5710126345211782,80693.0190314032,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
49,C3,hill,5.788733751855105,0.5487133496176295,0.304060598352208,False,False,0.3908891472594127,77147.70215201998,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
50,C3,hill,2.932070730083474,0.46211132054192694,0.49087189372146733,False,False,0.5274246729071814,54854.81920797417,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q2
51,C3,hill,4.3875771190314286,0.4894228764577892,0.7298466012577367,False,True,0.6784935990862058,110661.44010859136,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
52,C3,hill,7.858481402781083,0.4807281507149611,0.12419936659809017,False,True,0.4668639340002634,38275.122494425355,False,none,none,none,0.0,0.0,0.0,1,1,1,concave,,,False,False,0.0,Q3
53,C3,hill,8.071392824593518,0.33756897621452253,0.6631543555812076,False,True,0.5821163010805507,121480.0158787663,False,none,none,none,0.0,0.0,0.0,1,1,1,,,concave,False,False,0.0,Q1 least averse
54,C3,hill,7.013227707318554,0.5181818032440451,0.336312504220026,True,False,0.5774229978520133,82720.74342670607,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
55,C4,hill,2.569068717252121,0.5404099132849445,0.35723511130644015,False,False,0.70605597988129,64249.224337103995,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
56,C4,hill,2.0393936659020016,0.7037260074647982,0.40627842852540197,False,False,0.4380756697426529,65686.67258929752,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
57,C4,hill,4.988065047800741,0.6333196276227394,0.9456085405773911,True,False,0.6826331768661181,52705.32143817644,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
58,C4,hill,9.272735023140784,0.5551121976764745,0.6752905786104557,False,False,0.5899042253647452,91441.94933589724,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
59,C4,hill,7.317647255990291,0.3616528247842524,0.2739729535825078,False,False,0.7161293882136359,105604.1719222751,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q2
60,C4,hill,3.5225485442511215,0.6941916432381577,0.35673732617228787,False,True,0.6647345840729288,96837.00331077474,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
61,C4,hill,8.798861592359497,0.342416103761626,0.25617891166176443,False,True,0.2682067829067806,101025.98572023751,False,service,none,none,0.2850135109689138,0.0,0.0,3,1,1,convex,,,True,False,0.0950045036563046,Q2
62,C4,hill,3.6816578680103778,0.56104854514746,0.45994378914326606,False,False,0.6829490924268733,53141.549192281156,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
63,C4,hill,12.442221141247778,0.35173530702760825,0.0955618031342635,False,False,0.6487752507870198,93332.87825504314,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q2
64,C4,hill,5.7167765462354145,0.5569510577337016,0.23219136275680868,True,False,0.6814127176900552,58023.70552975484,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
65,C4,hill,8.94825994972774,0.4353549793069393,0.2060870686293667,True,False,0.5820967002371867,86111.43898587309,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,,False,False,0.0,Q2
66,C4,hill,2.8763919558037334,0.3234391192644344,0.1282876042834457,True,False,0.444871533327558,92317.68649437896,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
67,C4,hill,6.684617703357082,0.246137739313384,0.21739804693302667,False,True,0.45867078754657264,40590.06752755871,False,none,none,none,0.0,0.0,0.0,1,1,1,convex,,concave,False,False,0.0,Q1 least averse
68,C5,hill,13.460936068382948,0.4732835021876266,0.8346412211363938,False,False,0.8543815933517236,83759.61639880635,False,service,none,none,0.6557139637763107,0.0,0.0,4,1,1,convex,,convex,True,True,0.21857132125877024,Q3
69,C5,hill,2.5951233618611056,0.6196143595197059,0.30144760436263945,True,True,0.4264840592634641,91766.92165883903,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
70,C5,hill,4.310261324117459,0.14208568073846242,0.8547403116263348,False,False,0.5577784574151222,86427.14005191611,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
71,C5,hill,9.48624532748119,0.6526170237841622,0.4046805316507369,True,False,0.5627819563238352,112791.5680048161,False,none,none,none,0.0,0.0,0.0,1,1,1,,,convex,False,False,0.0,Q4 most averse
72,C5,hill,1.7070025637028472,0.3406388376305102,0.457914959343949,False,False,0.5308553766865897,28764.482861193428,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
73,C5,hill,2.0994752886597494,0.2823562973796686,0.1419645373143136,False,True,0.43949422807860716,124280.04608832186,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
74,C5,hill,6.126258844355652,0.27338746206824266,0.14984229060165483,False,False,0.6904483925278998,96032.83632111074,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q1 least averse
75,C5,hill,4.80862075055076,0.8836312896799292,0.029661858113824137,False,False,0.7139769856533758,54664.18485704083,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
76,C6,mountain,2.515684342701075,0.4499396795919258,0.3211911461823677,False,False,0.859132819411097,27111.57192489587,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q2
77,C6,mountain,1.8783334827593414,0.48874253046526284,0.47881474754754444,True,False,0.7196206454579087,31157.510646452152,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
78,C6,mountain,1.5996886867276754,0.8123320610341467,0.36399895610948346,False,True,0.8395403411334614,24008.13973268315,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
79,C6,mountain,3.0883099656968955,0.4639408708366878,0.226795234274409,False,False,0.7927980227858856,52063.46654806915,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q3
80,C6,mountain,2.971134550090086,0.5743945780298509,0.3768698291248931,False,False,0.803479645705209,50561.930570469834,False,none,none,none,0.0,0.0,0.0,1,1,1,,,,False,False,0.0,Q4 most averse
